id,gbifID,file_name,license
6319,3845900428,Fanniidae_Fannia_lustrator_1949906_3845900428,© All rights reserved
6320,3845900428,Fanniidae_Fannia_lustrator_1949907_3845900428,© All rights reserved
6321,3845900428,Fanniidae_Fannia_lustrator_1949908_3845900428,© All rights reserved
6322,3845900428,Fanniidae_Fannia_lustrator_1949909_3845900428,© All rights reserved
6323,3845900428,Fanniidae_Fannia_lustrator_1949910_3845900428,© All rights reserved
11744,3112750820,Fanniidae_Fannia_lustrator_2352703_3112750820,http://creativecommons.org/licenses/by/4.0/
11745,3112750820,Fanniidae_Fannia_lustrator_2352704_3112750820,http://creativecommons.org/licenses/by/4.0/
16075,2403818812,Fanniidae_Fannia_subpellucens_152883_2403818812,© All rights reserved
18962,1319539409,Fanniidae_Fannia_scalaris_2786602_1319539409,Usage Conditions Apply
29316,3759660922,Fanniidae_Fannia_canicularis_1924133_3759660922,http://creativecommons.org/licenses/by/4.0/
29317,3759660922,Fanniidae_Fannia_canicularis_1924134_3759660922,http://creativecommons.org/licenses/by/4.0/
31791,2248740313,Fanniidae_Fannia_monilis_137971_2248740313,http://creativecommons.org/licenses/by-nc-sa/4.0/
33144,1960063529,Fanniidae_Fannia_lustrator_1479562_1960063529,http://creativecommons.org/licenses/by-nc-nd/4.0/
34679,2841487034,Fanniidae_Fannia_lustrator_1604545_2841487034,http://creativecommons.org/licenses/by-nc-nd/4.0/
34976,1958274667,Fanniidae_Fannia_manicata_2166053_1958274667,http://creativecommons.org/licenses/by-nc-nd/4.0/
34977,1958274667,Fanniidae_Fannia_manicata_2166054_1958274667,http://creativecommons.org/licenses/by-nc-nd/4.0/
34978,1958274667,Fanniidae_Fannia_manicata_2166055_1958274667,http://creativecommons.org/licenses/by-nc-nd/4.0/
37901,2401176687,Fanniidae_Fannia_canicularis_2220158_2401176687,© All rights reserved
37902,2401176687,Fanniidae_Fannia_canicularis_2220159_2401176687,© All rights reserved
37903,2401176687,Fanniidae_Fannia_canicularis_2220160_2401176687,© All rights reserved
38810,2620081698,Fanniidae_Fannia_scalaris_2256848_2620081698,http://creativecommons.org/licenses/by-nc/4.0/
38811,2620081698,Fanniidae_Fannia_scalaris_2256849_2620081698,http://creativecommons.org/licenses/by-nc/4.0/
38812,2620081698,Fanniidae_Fannia_scalaris_2256850_2620081698,http://creativecommons.org/licenses/by-nc/4.0/
38813,2620081698,Fanniidae_Fannia_scalaris_2256851_2620081698,http://creativecommons.org/licenses/by-nc/4.0/
43535,4021954489,Fanniidae_Fannia_lustrator_3439981_4021954489,http://creativecommons.org/licenses/by-nc/4.0/
43949,1227713856,Fanniidae_Fannia_canicularis_1389032_1227713856,http://creativecommons.org/licenses/by-nc-sa/4.0/
51297,2576311472,Fanniidae_Fannia_canicularis_1562101_2576311472,http://creativecommons.org/licenses/by-nc/4.0/
51298,2576311472,Fanniidae_Fannia_canicularis_1562102_2576311472,http://creativecommons.org/licenses/by-nc/4.0/
59950,2459995756,Fanniidae_Fannia_canicularis_2231760_2459995756,http://creativecommons.org/licenses/by-nc/4.0/
61050,2397500871,Fanniidae_Fannia_canicularis_150879_2397500871,http://creativecommons.org/licenses/by-nc/4.0/
62312,1227714812,Fanniidae_Fannia_canicularis_9207_1227714812,http://creativecommons.org/licenses/by-nc-sa/4.0/
68447,1458996386,Fanniidae_Fannia_canicularis_46714_1458996386,© all rights reserved
73777,3091036305,Fanniidae_Fannia_lustrator_3038395_3091036305,http://creativecommons.org/licenses/by/4.0/
73778,3091036305,Fanniidae_Fannia_lustrator_3038396_3091036305,http://creativecommons.org/licenses/by/4.0/
73779,3091036305,Fanniidae_Fannia_lustrator_3038397_3091036305,http://creativecommons.org/licenses/by/4.0/
78477,1491355769,Fanniidae_Fannia_lustrator_1429610_1491355769,© all rights reserved
78478,1491355769,Fanniidae_Fannia_lustrator_1429611_1491355769,© all rights reserved
90856,2576245629,Fanniidae_Fannia_canicularis_1561971_2576245629,http://creativecommons.org/licenses/by/4.0/
103714,3705713406,Fanniidae_Fannia_canicularis_1853333_3705713406,http://creativecommons.org/licenses/by-nc/4.0/
105736,4011551201,Fanniidae_Fannia_canicularis_2055136_4011551201,http://creativecommons.org/licenses/by-nc/4.0/
105737,4011551201,Fanniidae_Fannia_canicularis_2055137_4011551201,http://creativecommons.org/licenses/by-nc/4.0/
122171,1956653455,Fanniidae_Fannia_pallitibia_94594_1956653455,http://creativecommons.org/licenses/by-nc-nd/4.0/
122172,1956653455,Fanniidae_Fannia_pallitibia_94595_1956653455,http://creativecommons.org/licenses/by-nc-nd/4.0/
123668,1844510626,Fanniidae_Fannia_canicularis_763925_1844510626,
127580,2001460012,Fanniidae_Fannia_minutipalpis_2891099_2001460012,http://creativecommons.org/licenses/by-nc-sa/4.0/
127583,2001284897,Fanniidae_Fannia_armata_2891085_2001284897,http://creativecommons.org/licenses/by-nc-sa/4.0/
129797,931736679,Fanniidae_Fannia_mollissima_2067415_931736679,© all rights reserved
129798,931736679,Fanniidae_Fannia_mollissima_2067416_931736679,© all rights reserved
129799,931736679,Fanniidae_Fannia_mollissima_2067417_931736679,© all rights reserved
129874,2271195499,Fanniidae_Fannia_manicata_144699_2271195499,© all rights reserved
129875,2271195499,Fanniidae_Fannia_manicata_144700_2271195499,© all rights reserved
129876,2271195499,Fanniidae_Fannia_manicata_144701_2271195499,© all rights reserved
129877,2271195499,Fanniidae_Fannia_manicata_144702_2271195499,© all rights reserved
